gender,contract,paymentmethod,internetservice,charges_total,tenure,churn,cuentas_diarias
Female,One year,Mailed check,DSL,593.3,9,No,2.1866666666666665
Male,Month-to-month,Mailed check,DSL,542.4,9,No,1.9966666666666666
Male,Month-to-month,Electronic check,Fiber optic,280.85,4,Yes,2.4633333333333334
Male,Month-to-month,Electronic check,Fiber optic,1237.85,13,Yes,3.2666666666666666
Female,Month-to-month,Mailed check,Fiber optic,267.4,3,Yes,2.796666666666667
Female,Month-to-month,Credit card (automatic),DSL,571.45,9,No,2.3133333333333335
Female,Two year,Bank transfer (automatic),Fiber optic,7904.25,71,No,3.6566666666666667
Male,Two year,Credit card (automatic),Fiber optic,5377.8,63,No,2.8216666666666668
Female,Month-to-month,Electronic check,DSL,340.35,7,No,1.6066666666666667
Female,Two year,Mailed check,DSL,5957.9,65,No,3.015
Male,Two year,Credit card (automatic),DSL,2460.55,54,No,1.5066666666666668
Female,Two year,Credit card (automatic),Fiber optic,8456.75,72,No,3.893333333333333
Female,Month-to-month,Electronic check,Fiber optic,351.5,5,No,2.2983333333333333
Female,Two year,Bank transfer (automatic),Fiber optic,7261.25,72,No,3.3766666666666665
Female,Two year,Bank transfer (automatic),DSL,2560.1,56,No,1.5016666666666665
Female,Two year,Credit card (automatic),Fiber optic,6849.4,71,No,3.191666666666667
Female,One year,Mailed check,DSL,1993.2,34,No,2.0416666666666665
Female,Month-to-month,Electronic check,Fiber optic,72.1,1,No,2.4033333333333333
Male,One year,Credit card (automatic),DSL,2791.5,45,Yes,2.0900000000000003
Male,Month-to-month,Electronic check,DSL,25.1,1,Yes,0.8366666666666667
Female,One year,Electronic check,No,1306.3,50,No,0.84
Female,Month-to-month,Electronic check,Fiber optic,1215.6,13,Yes,3.1366666666666663
Female,Month-to-month,Electronic check,Fiber optic,1849.95,23,No,2.7916666666666665
Female,Month-to-month,Mailed check,No,57.2,3,No,0.6616666666666667
Female,Month-to-month,Mailed check,No,76.35,4,Yes,0.6783333333333333
Female,Month-to-month,Bank transfer (automatic),DSL,30.5,1,Yes,1.0166666666666666
Female,One year,Bank transfer (automatic),Fiber optic,5656.75,55,No,3.4566666666666666
Male,Two year,Credit card (automatic),No,1090.6,54,No,0.6799999999999999
Male,One year,Bank transfer (automatic),No,471.85,26,No,0.6533333333333334
Female,Two year,Bank transfer (automatic),No,1396.9,69,No,0.6566666666666666
Male,One year,Credit card (automatic),Fiber optic,3247.55,37,No,3.04
Female,One year,Bank transfer (automatic),No,900.9,49,No,0.6816666666666666
Male,One year,Bank transfer (automatic),Fiber optic,7942.15,66,No,3.86
Female,One year,Electronic check,No,1343.4,67,No,0.685
Male,Two year,Credit card (automatic),DSL,825.4,20,No,1.3133333333333332
Female,Two year,Electronic check,No,1070.15,43,No,0.8366666666666667
Female,Month-to-month,Bank transfer (automatic),Fiber optic,4959.6,55,No,2.993333333333333
Female,Month-to-month,Electronic check,Fiber optic,5597.65,59,No,3.158333333333333
Female,Two year,Bank transfer (automatic),No,224.5,12,No,0.6766666666666666
Male,Month-to-month,Bank transfer (automatic),Fiber optic,1929.0,27,No,2.525
Male,Month-to-month,Electronic check,DSL,91.1,2,Yes,1.6416666666666666
Female,One year,Mailed check,DSL,2078.95,27,No,2.606666666666667
Male,Two year,Credit card (automatic),No,630.6,25,No,0.85
Male,One year,Bank transfer (automatic),DSL,1611.0,25,No,2.0533333333333332
Male,Month-to-month,Mailed check,DSL,1242.45,29,No,1.5
Male,Two year,Bank transfer (automatic),DSL,6316.2,72,No,2.8383333333333334
Female,One year,Credit card (automatic),DSL,727.85,14,No,1.715
Female,One year,Electronic check,Fiber optic,3532.0,35,No,3.308333333333333
Male,Month-to-month,Mailed check,DSL,44.3,1,No,1.4766666666666666
Male,Month-to-month,Electronic check,Fiber optic,2607.6,29,No,3.14
Male,One year,Electronic check,DSL,5567.55,64,No,2.7083333333333335
Female,Month-to-month,Credit card (automatic),Fiber optic,3767.4,39,No,3.3316666666666666
Female,Month-to-month,Electronic check,Fiber optic,3673.6,40,No,3.0516666666666667
Male,Month-to-month,Credit card (automatic),Fiber optic,4036.85,40,Yes,3.4833333333333334
Female,Month-to-month,Electronic check,Fiber optic,1120.3,11,Yes,3.1666666666666665
Female,Month-to-month,Electronic check,DSL,314.55,6,No,1.6783333333333335
Male,Month-to-month,Mailed check,DSL,1888.45,30,No,2.15
Male,Month-to-month,Electronic check,No,529.8,27,No,0.6466666666666666
Male,One year,Electronic check,Fiber optic,7308.95,70,No,3.493333333333333
Female,One year,Bank transfer (automatic),Fiber optic,6252.7,57,No,3.646666666666667
Male,One year,Credit card (automatic),DSL,2878.55,58,No,1.6766666666666665
Male,Month-to-month,Bank transfer (automatic),DSL,1212.1,16,No,2.3800000000000003
Female,Two year,Electronic check,Fiber optic,8182.85,69,No,3.8666666666666667
Male,Month-to-month,Electronic check,No,19.85,1,Yes,0.6616666666666667
Male,Month-to-month,Electronic check,Fiber optic,99.75,1,Yes,3.325
Male,Month-to-month,Mailed check,Fiber optic,2861.45,32,No,3.131666666666667
Male,Month-to-month,Bank transfer (automatic),Fiber optic,1442.2,16,No,3.0266666666666664
Male,One year,Electronic check,DSL,4059.35,49,Yes,2.8116666666666665
Female,Two year,Bank transfer (automatic),DSL,4145.9,71,No,1.9416666666666667
Female,Month-to-month,Electronic check,Fiber optic,3645.5,33,No,3.585
Female,Month-to-month,Bank transfer (automatic),No,187.75,10,No,0.6649999999999999
Male,Month-to-month,Electronic check,Fiber optic,2317.1,21,Yes,3.7066666666666666
Male,Month-to-month,Bank transfer (automatic),DSL,1448.8,37,Yes,1.34
Female,Month-to-month,Credit card (automatic),Fiber optic,2193.65,26,No,2.86
Male,One year,Mailed check,DSL,1748.9,50,No,1.18
Female,Month-to-month,Electronic check,Fiber optic,511.25,7,Yes,2.4616666666666664
Female,Two year,Mailed check,DSL,5526.75,61,No,2.9366666666666665
Male,Month-to-month,Electronic check,Fiber optic,1553.95,15,Yes,3.378333333333333
Female,Month-to-month,Mailed check,DSL,1147.0,26,No,1.5266666666666666
Male,Month-to-month,Electronic check,Fiber optic,6747.35,72,No,3.1550000000000002
Male,One year,Bank transfer (automatic),No,865.05,44,No,0.6833333333333333
Male,Month-to-month,Credit card (automatic),Fiber optic,5976.9,66,No,2.98
Female,Month-to-month,Electronic check,Fiber optic,181.65,2,Yes,2.875
Female,One year,Bank transfer (automatic),DSL,3268.05,44,No,2.4949999999999997
Female,Month-to-month,Bank transfer (automatic),Fiber optic,1052.4,12,Yes,2.9916666666666667
Male,Two year,Electronic check,Fiber optic,7634.25,69,No,3.665
Female,Month-to-month,Mailed check,Fiber optic,80.2,1,Yes,2.6733333333333333
Female,Month-to-month,Mailed check,No,63.75,3,Yes,0.6616666666666667
Female,Month-to-month,Electronic check,Fiber optic,190.5,2,No,3.0116666666666663
Female,Month-to-month,Bank transfer (automatic),Fiber optic,2401.05,27,No,2.881666666666667
Male,Month-to-month,Electronic check,No,511.25,26,No,0.6766666666666666
Female,Month-to-month,Electronic check,Fiber optic,3949.15,39,No,3.375
Male,Month-to-month,Bank transfer (automatic),Fiber optic,2362.1,25,Yes,3.1566666666666667
Female,Month-to-month,Mailed check,Fiber optic,70.9,1,Yes,2.3633333333333337
Male,Month-to-month,Electronic check,DSL,1152.7,22,Yes,1.8066666666666669
Female,Two year,Electronic check,Fiber optic,8496.7,72,No,3.83
Female,Two year,Bank transfer (automatic),No,470.2,24,No,0.6516666666666667
Female,Month-to-month,Electronic check,Fiber optic,1564.4,19,No,2.895
Male,Two year,Credit card (automatic),No,1847.55,71,No,0.8450000000000001
Male,Month-to-month,Bank transfer (automatic),Fiber optic,3694.7,33,No,3.6633333333333336
Female,Month-to-month,Mailed check,No,58.0,3,No,0.6649999999999999
Male,Month-to-month,Electronic check,Fiber optic,4017.45,47,No,2.9066666666666667
Male,Two year,Mailed check,Fiber optic,6825.65,62,No,3.605
Male,One year,Bank transfer (automatic),Fiber optic,8309.55,71,No,3.8766666666666665
